-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
4.46,-22.3,-12.3,4.02,-5.41,18.8,16.7,17.6,6.38,-20.2,-1.78,13.0,17.0,0
5.71,-29.8,-5.52,19.9,-24.0,11.7,0.706,-15.3,3.21,-2.97,2.32,-2.37,-2.26,0
0.664,-40.9,-17.6,-5.24,-10.3,3.29,-1.55,11.8,7.1,16.8,9.93,10.8,-0.228,0
0.387,-19.0,5.23,-2.15,5.46,-14.7,-0.608,9.26,-9.09,2.14,6.33,-12.6,12.8,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
1.76,-40.2,-4.12,-13.7,-11.9,-5.82,-31.8,-18.8,22.6,-1.99,-0.897,-1.67,-7.97,0
5.49,-31.7,-31.9,3.98,-11.0,3.51,-18.8,-8.16,12.6,0.115,0.877,-2.39,5.8,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
0.673,-22.7,-13.0,-7.23,-2.72,-0.658,-8.75,-18.4,11.2,4.62,-3.64,-4.85,6.17,0
1.77,-34.2,-17.7,-4.92,-1.1,-8.91,-7.06,-8.39,-12.1,2.43,-0.207,0.875,-2.04,0
3.11,-41.5,-4.31,4.81,-9.96,4.98,-4.2,-1.74,-6.73,4.53,15.5,8.28,5.16,0
1.92,-26.7,1.64,6.88,-3.91,-17.1,1.13,4.76,2.06,-2.88,-11.1,-6.12,-2.28,0
0.895,-16.7,-8.36,-8.15,-5.61,3.13,-0.855,-4.54,4.73,-9.0,3.23,-15.5,9.64,0
2.54,-37.3,-17.4,-13.4,-14.7,-18.7,-16.3,-12.2,4.96,6.4,13.1,2.19,-25.3,0
2.78,-32.1,-7.21,6.63,5.15,0.0171,-2.25,-3.75,-0.23,-5.51,-3.26,-6.44,-11.3,0
2.46,-29.3,-15.9,-7.39,-5.13,-19.6,-17.8,10.3,0.11,-6.28,1.6,1.98,7.89,0
4.26,-29.5,-5.71,16.3,2.57,-2.58,-13.3,11.6,-2.32,-4.36,13.4,-11.5,-1.61,0
4.03,-27.0,-8.61,-0.352,-13.0,-5.35,-14.2,-1.5,-7.21,6.21,8.61,-11.4,0.298,0
0.387,-18.5,5.84,-6.98,-3.7,-7.09,2.93,6.19,-4.41,-8.57,10.1,1.88,-9.54,0
2.54,-29.8,-20.4,-16.9,1.45,-11.7,-2.1,-5.14,-15.0,1.02,1.21,-3.21,-8.76,0
3.92,-26.4,-14.5,-8.59,-4.2,12.1,-1.05,-0.07,1.73,-3.58,6.38,1.27,-1.35,0
2.28,-45.9,-15.2,-10.8,-6.3,2.8,2.3,7.44,2.29,-10.3,-0.617,2.0,-9.17,0
0.387,-19.9,-0.604,1.13,-4.61,1.23,-3.97,1.56,-2.03,2.03,-1.76,-0.401,-2.94,0
1.36,-41.2,-14.6,2.41,3.51,19.7,5.38,3.7,-8.93,2.25,-2.37,-2.89,-10.8,0
1.58,-32.0,-2.39,-5.32,-20.6,-2.42,9.42,-2.77,5.61,0.889,-6.2,8.35,5.42,0
1.76,-24.5,-14.0,-0.779,13.2,5.52,-7.41,1.07,-31.0,-0.327,13.3,10.1,-6.41,0
3.58,-28.2,-11.8,3.02,8.39,9.81,-10.4,-20.9,-7.96,9.29,10.5,3.16,-2.27,0
3.38,-24.2,-8.1,1.66,0.804,9.57,3.58,-8.02,0.504,-17.7,9.72,18.1,6.9,0
2.69,-35.5,-18.8,-21.1,-21.2,-18.3,2.17,10.8,3.57,5.47,-10.4,2.8,16.7,0
3.37,-29.0,-3.18,10.8,-5.22,13.2,6.14,-13.2,-0.0825,5.5,-0.0835,-11.7,2.52,0
4.28,-28.8,-10.0,11.6,-10.2,-1.72,-11.1,-3.7,15.6,-0.26,0.293,2.4,8.06,0
1.36,-43.7,-2.84,-11.3,-6.67,0.174,4.98,-8.79,-2.85,-17.2,-10.3,-2.3,0.8,0
3.86,-32.0,9.77,22.3,-10.3,12.0,20.6,1.7,6.95,-6.75,-19.0,-2.34,9.5,0
4.32,-30.9,6.29,-0.454,-19.9,7.23,-20.6,11.9,-8.66,-22.4,0.422,-19.9,4.0,0
1.07,-47.6,-9.7,-15.5,-5.54,-15.4,-12.5,10.6,11.7,-18.4,0.292,2.24,4.44,0
3.81,-35.0,-12.4,13.3,0.939,-1.46,-3.05,-3.94,8.53,-1.69,-11.8,-4.19,2.75,0
